"Year","Tree1","Tree2","Tree3","Tree4","Tree5","Tree6"
"1856",0.023,0.066,0.300,0.190,0.440,0.070
"1857",1.044,0.145,0.066,0.071,0.128,0.280
"1858",0.071,0.267,0.414,0.114,0.079,0.351
"1859",0.503,0.357,0.325,0.552,0.758,0.447
"1860",0.352,0.070,0.323,0.204,0.022,0.170
"1861",0.461,0.358,0.518,0.205,0.595,0.469
"1862",0.422,0.110,0.473,0.026,0.750,0.021
"1863",0.254,0.001,0.549,0.334,0.511,0.680
"1864",0.127,0.244,0.048,0.567,0.330,0.540
"1865",0.148,0.070,0.007,0.423,0.418,0.171
"1866",0.119,0.174,0.172,0.377,0.209,0.641
"1867",0.515,0.200,0.174,0.338,0.234,0.181
"1868",0.684,0.342,0.480,0.506,0.456,0.694
"1869",0.531,0.061,0.395,0.112,0.364,0.000
"1870",0.500,0.264,0.207,0.034,0.116,0.004
"1871",0.347,0.682,0.283,0.267,0.462,0.567
"1872",0.873,0.184,0.087,0.246,0.197,0.127
"1873",0.011,0.270,0.381,0.338,0.004,0.253
"1874",0.184,0.027,0.124,0.563,0.304,0.140
"1875",0.223,0.318,0.026,0.400,0.338,0.360
"1876",0.153,0.048,0.049,0.241,0.336,0.298
"1877",0.253,0.321,0.180,0.210,0.547,0.140
"1878",0.097,0.494,0.242,0.642,0.131,0.060
"1879",0.207,0.063,0.148,0.417,0.245,0.416
"1880",0.425,0.077,0.607,0.504,0.567,0.090
"1881",0.329,0.323,0.126,0.344,0.158,0.297
"1882",0.285,0.338,0.598,0.091,0.142,0.201
"1883",0.765,0.105,0.210,0.280,0.234,0.130
"1884",0.176,0.043,0.003,0.052,0.173,0.067
"1885",0.339,0.140,0.288,0.290,0.759,0.356
"1886",0.578,0.290,0.270,0.099,0.072,0.134
"1887",0.133,0.066,0.075,0.354,0.310,0.269
"1888",0.235,0.073,0.025,0.084,0.122,0.158
"1889",0.337,0.033,0.101,0.307,0.387,0.054
"1890",0.010,0.077,0.357,0.267,0.521,0.170
"1891",0.210,0.183,0.354,0.059,0.981,0.007
"1892",0.249,0.260,0.265,0.265,0.279,0.234
"1893",0.805,0.075,0.657,0.617,0.682,0.045
"1894",0.009,0.630,0.329,0.575,0.364,0.570
"1895",0.181,0.253,0.494,0.174,0.273,0.071
"1896",0.122,0.206,0.001,0.190,0.210,0.144
"1897",0.231,0.079,0.067,0.326,0.411,0.118
"1898",0.407,0.301,0.746,0.308,0.806,0.659
"1899",1.019,0.227,0.411,0.228,0.090,0.171
"1900",0.468,0.410,0.501,0.764,0.507,0.810
"1901",0.354,0.537,0.073,0.377,0.163,0.228
"1902",0.491,0.051,0.388,0.875,0.337,0.701
"1903",0.158,0.251,0.671,0.652,1.449,0.019
"1904",0.583,0.360,0.899,1.025,0.857,0.695
"1905",0.684,0.422,0.358,0.658,1.085,0.409
"1906",0.231,0.072,0.275,0.255,0.987,0.214
"1907",0.700,0.802,0.632,0.656,1.162,0.925
"1908",0.734,0.734,0.300,1.002,0.468,1.072
"1909",0.050,0.076,0.054,0.001,0.401,0.008
"1910",0.132,0.221,0.601,0.710,0.892,0.458
"1911",0.738,0.369,0.481,0.550,0.660,0.213
"1912",0.479,0.135,0.468,0.481,0.914,0.559
"1913",0.381,0.316,0.202,0.329,0.089,0.360
"1914",0.771,0.503,0.554,0.507,1.144,0.608
"1915",0.675,0.081,0.275,0.579,0.154,0.531
"1916",0.476,0.314,0.296,0.133,0.130,0.512
"1917",0.179,0.178,0.639,0.655,0.285,0.304
"1918",0.777,0.172,0.486,0.371,0.850,0.283
"1919",1.029,0.008,0.687,0.727,0.589,1.440
"1920",0.250,0.112,0.291,0.331,0.004,0.043
"1921",0.879,0.409,0.001,1.044,0.170,1.067
"1922",0.026,0.289,0.911,0.254,0.157,0.449
"1923",0.166,0.307,0.009,0.714,0.011,0.284
"1924",0.542,0.262,0.345,0.175,0.326,0.363
"1925",1.289,0.308,0.747,0.628,1.066,0.668
"1926",0.848,0.052,0.401,0.560,0.180,0.868
"1927",0.024,0.113,0.240,0.211,0.215,0.277
"1928",0.048,0.136,0.416,0.389,0.332,0.102
"1929",0.507,0.106,0.128,0.044,0.131,0.009
"1930",0.569,0.013,0.453,0.162,0.057,0.322
"1931",0.318,0.139,0.553,0.664,0.236,0.108
"1932",0.630,0.211,0.309,0.173,0.314,0.582
"1933",0.273,0.201,0.607,0.241,0.214,0.430
"1934",0.177,0.223,0.070,0.907,0.598,0.717
"1935",0.610,0.033,0.294,0.297,0.334,0.582
"1936",0.819,0.088,0.225,0.048,0.328,0.082
"1937",0.038,0.071,0.455,0.536,0.170,0.005
"1938",0.104,0.039,0.118,0.017,0.399,0.293
"1939",0.188,0.203,0.275,0.301,0.386,0.157
"1940",0.016,0.041,0.169,0.547,0.372,0.029
"1941",0.789,0.363,0.730,0.526,0.494,0.767
"1942",0.132,0.136,0.084,0.117,0.075,0.269
"1943",0.332,0.013,0.425,0.168,0.235,0.153
"1944",0.495,0.034,0.064,0.339,0.623,0.139
"1945",0.268,0.047,0.086,0.055,0.278,0.014
"1946",0.476,0.501,0.718,0.521,0.449,0.590
"1947",0.252,0.017,0.124,0.102,0.373,0.385
"1948",0.230,0.202,0.064,0.261,0.072,0.059
"1949",0.405,0.194,0.313,0.454,0.147,0.134
"1950",0.949,0.324,0.508,0.603,0.708,0.587
"1951",0.618,0.443,0.404,0.425,0.784,0.261
"1952",0.045,0.377,0.375,0.762,0.540,0.308
"1953",0.263,0.058,0.037,0.704,0.097,0.393
"1954",0.527,0.022,0.520,0.046,0.831,0.064
"1955",0.522,0.354,0.477,0.289,0.549,0.557
"1956",0.199,0.272,0.684,0.600,0.706,0.418
"1957",0.352,0.314,0.073,0.363,0.241,0.324
"1958",0.020,0.048,0.156,0.224,0.467,0.013
"1959",0.627,0.018,0.401,0.498,0.036,0.307
"1960",0.445,0.043,0.245,0.271,0.226,0.022
"1961",0.230,0.227,0.502,0.565,0.426,0.271
"1962",0.099,0.192,0.429,0.002,0.118,0.009
"1963",0.097,0.072,0.080,0.040,0.044,0.240
"1964",0.377,0.071,0.582,0.067,0.096,0.286
"1965",0.088,0.080,0.317,0.221,0.409,0.246
"1966",0.283,0.161,0.106,0.139,0.524,0.057
"1967",0.126,0.068,0.631,0.262,0.429,0.255
"1968",0.076,0.041,0.414,0.275,0.448,0.407
"1969",0.120,0.097,0.049,0.141,0.799,0.512
"1970",0.094,0.103,0.178,0.379,0.193,0.058
"1971",0.550,0.675,0.761,1.031,0.801,0.887
"1972",0.228,0.275,0.240,0.412,0.199,0.088
"1973",0.257,0.117,0.481,0.342,0.310,0.031
"1974",0.588,0.257,0.886,1.057,0.835,0.744
"1975",0.478,0.190,0.502,0.409,0.644,0.446
"1976",0.056,0.150,0.242,0.075,0.204,0.110
"1977",0.177,0.025,0.015,0.354,0.257,0.281
"1978",0.508,0.041,0.034,0.286,0.243,0.103
"1979",0.376,0.330,0.427,0.787,0.805,0.469
"1980",0.052,0.281,0.306,0.340,0.103,0.117
"1981",0.302,0.433,0.368,0.351,0.596,0.169
"1982",0.095,0.393,0.115,0.174,0.086,0.263
"1983",0.467,0.148,0.379,0.447,0.439,0.318
"1984",0.203,0.109,0.086,0.183,0.267,0.194
"1985",0.600,0.367,0.546,0.337,0.440,0.392
"1986",0.094,0.470,0.644,0.209,0.194,0.094
