"Month","Rock Creek at Little Round Valley, NR. Bishop, California, Sep. 1960"
"1977-03",0.447
"1977-04",0.674
"1977-05",0.501
"1977-06",0.566
"1977-07",0.807
"1977-08",2.008
"1977-09",2.240
"1977-10",2.330
"1977-11",1.271
"1977-12",0.748
"1978-01",0.580
"1978-02",0.524
"1978-03",0.524
"1978-04",0.476
"1978-05",0.564
"1978-06",0.544
"1978-07",0.572
"1978-08",1.430
"1978-09",1.501
"1978-10",1.716
"1978-11",0.833
"1978-12",0.547
"1979-01",0.416
"1979-02",0.487
"1979-03",0.425
"1979-04",0.360
"1979-05",0.476
"1979-06",0.439
"1979-07",0.637
"1979-08",1.988
"1979-09",2.917
"1979-10",2.973
"1979-11",1.600
"1979-12",0.968
"1980-01",0.988
"1980-02",0.861
"1980-03",0.694
"1980-04",0.663
"1980-05",0.620
"1980-06",0.578
"1980-07",0.997
"1980-08",2.248
"1980-09",2.444
"1980-10",2.330
"1980-11",1.246
"1980-12",0.654
"1981-01",0.694
"1981-02",0.663
"1981-03",0.595
"1981-04",0.513
"1981-05",0.547
"1981-06",0.521
"1981-07",0.790
"1981-08",2.155
"1981-09",1.458
"1981-10",1.048
"1981-11",0.677
"1981-12",0.430
"1982-01",0.371
"1982-02",0.343
"1982-03",0.328
"1982-04",0.320
"1982-05",0.283
"1982-06",0.334
"1982-07",0.396
"1982-08",0.722
"1982-09",1.297
"1982-10",1.158
"1982-11",0.552
"1982-12",0.362
"1983-01",0.281
"1983-02",0.248
"1983-03",0.279
"1983-04",0.261
"1983-05",0.278
"1983-06",0.297
"1983-07",5.012
"1983-08",1.056
"1983-09",1.994
"1983-10",1.152
"1983-11",0.603
"1983-12",0.334
"1984-01",0.268
"1984-02",0.297
"1984-03",0.292
"1984-04",0.320
"1984-05",0.261
"1984-06",0.266
"1984-07",0.634
"1984-08",1.535
"1984-09",1.934
"1984-10",1.422
"1984-11",0.569
"1984-12",0.439
"1985-01",0.292
"1985-02",0.496
"1985-03",0.569
"1985-04",0.450
"1985-05",0.493
"1985-06",0.416
"1985-07",0.657
"1985-08",1.311
"1985-09",2.282
"1985-10",1.713
"1985-11",0.818
"1985-12",0.484
"1986-01",0.399
"1986-02",0.405
"1986-03",0.405
"1986-04",0.617
"1986-05",0.445
"1986-06",0.470
"1986-07",0.527
"1986-08",2.475
"1986-09",3.341
"1986-10",3.256
"1986-11",1.900
"1986-12",0.835
"1987-01",0.464
"1987-02",0.442
"1987-03",0.456
"1987-04",0.416
"1987-05",0.385
"1987-06",0.385
"1987-07",0.564
"1987-08",0.767
"1987-09",1.563
"1987-10",2.149
"1987-11",0.767
"1987-12",0.433
"1988-01",0.331
"1988-02",0.357
"1988-03",0.362
"1988-04",0.314
"1988-05",0.357
"1988-06",0.413
"1988-07",0.716
"1988-08",1.835
"1988-09",1.574
"1988-10",1.212
"1988-11",0.552
"1988-12",0.368
"1989-01",0.306
"1989-02",0.328
"1989-03",0.388
"1989-04",0.365
"1989-05",0.340
"1989-06",0.320
"1989-07",0.396
"1989-08",1.002
"1989-09",2.195
"1989-10",1.382
"1989-11",0.716
"1989-12",0.377
"1990-01",0.289
"1990-02",0.283
"1990-03",0.623
"1990-04",0.507
"1990-05",0.413
"1990-06",0.408
"1990-07",0.711
"1990-08",1.883
"1990-09",3.794
"1990-10",3.596
"1990-11",1.555
"1990-12",0.844
"1991-01",0.626
"1991-02",0.515
"1991-03",0.442
"1991-04",0.388
"1991-05",0.419
"1991-06",0.428
"1991-07",0.501
"1991-08",1.079
"1991-09",2.888
"1991-10",1.668
"1991-11",0.833
"1991-12",0.453
"1992-01",0.343
"1992-02",0.331
"1992-03",0.354
"1992-04",0.354
"1992-05",0.351
"1992-06",0.368
"1992-07",0.496
"1992-08",2.333
"1992-09",3.002
"1992-10",2.339
"1992-11",1.436
"1992-12",0.674
"1993-01",0.430
"1993-02",0.394
"1993-03",0.374
"1993-04",0.399
"1993-05",0.428
"1993-06",0.371
"1993-07",0.527
"1993-08",0.646
"1993-09",1.226
"1993-10",0.731
"1993-11",0.470
"1993-12",0.379
"1994-01",0.317
"1994-02",0.280
"1994-03",0.276
"1994-04",0.289
"1994-05",0.303
"1994-06",0.331
"1994-07",0.467
"1994-08",0.589
"1994-09",1.164
"1994-10",0.629
"1994-11",0.430
"1994-12",0.281


